place_id,tag_type,tag_description,tag_value,source
ChIJRXLy5FTJBZER3lPKDIM2_Gg,Amenities,Toilet,TRUE,parsed
ChIJHbWmE0zFBZERzpHMxHI3tJU,Accessibility,Wheelchair-accessible car park,FALSE,parsed
ChIJHbWmE0zFBZERzpHMxHI3tJU,Accessibility,Wheelchair-accessible entrance,FALSE,parsed
ChIJHbWmE0zFBZERzpHMxHI3tJU,Amenities,Toilet,TRUE,parsed
ChIJHbWmE0zFBZERzpHMxHI3tJU,Children,Family discount,TRUE,parsed
ChIJi6uz63eYBZERB8CC3eo9-xM,Amenities,Toilet,TRUE,parsed
ChIJi6uz63eYBZERB8CC3eo9-xM,Children,Good for kids,TRUE,parsed
ChIJf-tGXyvFBZERcKfPb9ruO40,Service options,On-site services,TRUE,parsed
ChIJf-tGXyvFBZERcKfPb9ruO40,Service options,Online classes,FALSE,parsed
ChIJf-tGXyvFBZERcKfPb9ruO40,Amenities,Toilet,TRUE,parsed
ChIJMdRaup_PBZERDM9AVTMzd6w,Amenities,Toilet,TRUE,parsed
ChIJl7jBoyrPBZER7uggoGyGutA,Amenities,Toilet,TRUE,parsed
ChIJeYNwkwnIBZER9ksmHYGbEuw,Service options,On-site services,TRUE,parsed
ChIJeYNwkwnIBZER9ksmHYGbEuw,Accessibility,Wheelchair-accessible car park,FALSE,parsed
ChIJeYNwkwnIBZER9ksmHYGbEuw,Accessibility,Wheelchair-accessible entrance,FALSE,parsed
ChIJeYNwkwnIBZER9ksmHYGbEuw,Amenities,Toilet,TRUE,parsed
ChIJeYNwkwnIBZER9ksmHYGbEuw,Planning,Appointment required,TRUE,parsed
ChIJeYNwkwnIBZER9ksmHYGbEuw,Payments,Credit cards,TRUE,parsed
ChIJeYNwkwnIBZER9ksmHYGbEuw,Payments,Debit cards,TRUE,parsed
ChIJeYNwkwnIBZER9ksmHYGbEuw,Children,Discounts for kids,TRUE,parsed
ChIJeYNwkwnIBZER9ksmHYGbEuw,Children,Family discount,TRUE,parsed
ChIJeYNwkwnIBZER9ksmHYGbEuw,Parking,Free of charge street parking,TRUE,parsed
ChIJkXP02G3JBZERHLuIe0SQAHM,Service options,On-site services,TRUE,parsed
ChIJkXP02G3JBZERHLuIe0SQAHM,Service options,Online classes,FALSE,parsed
ChIJkXP02G3JBZERHLuIe0SQAHM,Accessibility,Wheelchair-accessible car park,FALSE,parsed
ChIJkXP02G3JBZERHLuIe0SQAHM,Accessibility,Wheelchair-accessible entrance,FALSE,parsed
ChIJkXP02G3JBZERHLuIe0SQAHM,Amenities,Toilet,TRUE,parsed
ChIJ5fiUf_HHBZERYOsZZA9xFTU,Amenities,Toilet,TRUE,parsed
ChIJ59fyEPi5BZER8SxRYGoYSio,Accessibility,Wheelchair-accessible entrance,TRUE,parsed
ChIJ59fyEPi5BZER8SxRYGoYSio,Amenities,Toilet,TRUE,parsed
ChIJ59fyEPi5BZER8SxRYGoYSio,Payments,NFC mobile payments,TRUE,parsed
ChIJw5H8H1S4BZER1YkZvEUhdsg,Amenities,Toilet,TRUE,parsed
ChIJw5H8H1S4BZER1YkZvEUhdsg,Children,Good for kids,TRUE,parsed
ChIJe8lhM-zJBZERvsFzVLnwZVE,Amenities,Toilet,TRUE,parsed
