place_id,name,site,phone,email,whatsapp,instagram,facebook,cleaned_on
ChIJRXLy5FTJBZER3lPKDIM2_Gg,A Salvo Autodefensa,NA,NA,NA,https://wa.me/51993175009,https://www.instagram.com/asalvo.pe,NA,2025-07-14
ChIJHbWmE0zFBZERzpHMxHI3tJU,ABSOLUTE COMBAT SPORTS,NA,+51 977 663 673,absolutecombatperu@gmail.com,https://wa.me/51977663673,NA,https://www.facebook.com/absolutecsperu,2025-07-14
ChIJi6uz63eYBZERB8CC3eo9-xM,ABU-DOJO,NA,NA,NA,NA,https://www.instagram.com/abudojo,NA,2025-07-14
ChIJf-tGXyvFBZERcKfPb9ruO40,Academia de artes marciales TEAM BLACK GORILLA,NA,+51 912 558 300,NA,https://wa.me/51912558300,NA,NA,2025-07-14
ChIJ19FlnzW5BZERqD67s4vRqvk,"Academia de lucha olímpica ""Los tigres""",NA,NA,NA,NA,NA,NA,2025-07-14
ChIJMdRaup_PBZERDM9AVTMzd6w,Academia Punto Maximo,NA,+51 996 924 360,pmendozabjj@hotmail.com,https://wa.me/51996924360,NA,https://www.facebook.com/academiapuntomaximo,2025-07-14
ChIJl7jBoyrPBZER7uggoGyGutA,Academia Sniper Lima Norte,NA,+51 983 400 820,NA,https://wa.me/51983400820,https://www.instagram.com/sniperlimanorte,NA,2025-07-14
ChIJeYNwkwnIBZER9ksmHYGbEuw,SNIPER GT MIRAFLORES,NA,+51 942 192 982,NA,https://wa.me/51942192982,NA,NA,2025-07-14
ChIJkXP02G3JBZERHLuIe0SQAHM,Academia Sniper San Miguel,NA,+51 945 548 946,NA,https://wa.me/51945548946,https://www.instagram.com/snipersanmiguel,NA,2025-07-14
ChIJ5fiUf_HHBZERYOsZZA9xFTU,Academia Surco Wrestling,NA,+51 964 353 296,NA,https://wa.me/51964353296,NA,NA,2025-07-14
ChIJ59fyEPi5BZER8SxRYGoYSio,Academia True Wrestling,NA,+51 996 669 030,truewrestling2019@gmail.com,https://wa.me/51996669030,NA,https://www.facebook.com/truewrestlingperu,2025-07-14
ChIJw5H8H1S4BZER1YkZvEUhdsg,"Academy of Martial Arts ""RAGAZZI""",NA,+51 968 207 669,muaythai_ragazzi@hotmail.com,https://wa.me/51968207669,NA,https://www.facebook.com/artesmarcialesSJM,2025-07-14
ChIJbehiZfDHBZERxD71uXfBsvE,Almeida Jiu Jitsu,NA,+51 981 526 306,Informes@kazokujjperu.com,https://wa.me/51981526306,NA,https://www.facebook.com/dreamartxkazoku,2025-07-14
ChIJe8lhM-zJBZERvsFzVLnwZVE,Alpha Wolf - Escuela de artes marciales y deportes de contacto,NA,+51 970 492 363,NA,https://wa.me/51970492363,NA,NA,2025-07-14
ChIJWcjah627BZERr3KaEviXWL4,aranha_smp,NA,+51 942 121 777,NA,https://wa.me/51942121777,https://www.instagram.com/aranha_smp,NA,2025-07-14
ChIJvxVDJhq5BZERQHmnynp95sg,Art Choke,http://www.artchoke.site/,+51 939 252 711,webmaster@artchoke.site,https://wa.me/51939252711,NA,NA,2025-07-14
ChIJP096eO_RBZERoalEPIOyesI,Arte Suave,NA,+51 994 011 849,NA,https://wa.me/51994011849,https://www.instagram.com/dojo.artesuave,NA,2025-07-14
ChIJ_ajXUwDJBZERn-ZfOy2Pt4g,ARTEM Fight Studio,NA,NA,NA,NA,NA,NA,2025-07-14
ChIJj0IXpKXFBZERJoi_5KYTcYw,Artes Marciales Mixtas SM,NA,+51 935 521 046,NA,https://wa.me/51935521046,NA,NA,2025-07-14
ChIJQ2fNfwe4BZERh-TrCyDrHOk,Artes Marciales Orion,https://www.boxeomuaythaienlima.com/,+51 915 137 692,NA,https://wa.me/51915137692,NA,NA,2025-07-14
ChIJlbGtU7_LBZERmVRwOcVZAmg,B13 academy,NA,NA,NA,NA,NA,NA,2025-07-14
ChIJf9J7Su7QBZER5OjNsKwQDeI,Berserker Escuela,NA,NA,NA,NA,NA,NA,2025-07-14
ChIJRWJggGTJBZERQY3h-qj4SOc,Black Dragons,http://www.blackdragonsperu.com/,+51 998 233 479,NA,https://wa.me/51998233479,NA,https://www.facebook.com/BlackDragonsPeru,2025-07-14
ChIJ7SkTjy_vBZERaGwB_oSVhn8,Black House Jiu Jitsu Chosica,NA,NA,NA,NA,NA,NA,2025-07-14
ChIJ95fwUFe5BZERNKqeERCzfFI,Blue Fighter,NA,+51 994 180 688,NA,https://wa.me/51994180688,NA,NA,2025-07-14
ChIJBWk2LFfHBZEReyxW8Pzqrnc,Capone Jiu Jitsu and MMA,NA,+51 955 341 979,NA,https://wa.me/51955341979,https://www.instagram.com/bjjteamcapone,NA,2025-07-14
ChIJVxAkJBXHBZERuJ5Z1IzrEPc,Capone Kids,NA,+51 941 970 044,NA,https://wa.me/51941970044,https://www.instagram.com/caponebjjkids,NA,2025-07-14
ChIJeZn4EQDHBZERK-YhvBUA_nI,CAPONE TEAM © Jiu Jitsu & MMA (sede Salamanca),NA,+51 906 148 213,NA,https://wa.me/51906148213,https://www.instagram.com/caponeteam.salamanca,NA,2025-07-14
ChIJm6XxcgS5BZER8rNsS3pqcIk,Casa Calavera,NA,+51 960 136 107,NA,https://wa.me/51960136107,NA,NA,2025-07-14
ChIJDYJJFte9BZERJbEyFnQ5e9I,Casa Calavera Jose Galvez,NA,+51 946 187 709,NA,https://wa.me/51946187709,NA,NA,2025-07-14
ChIJ4TZ_D_PQBZERuXFy_OVaZUU,Centro de Artes Marciales COBRA,NA,NA,NA,NA,NA,NA,2025-07-14
ChIJdyuWXifRBZERL7akeaIyRfA,CENTRO DE ARTES MARCIALES GAME FIGHT COMAS,NA,+51 912 951 630,NA,https://wa.me/51912951630,https://www.instagram.com/gamefightcomas,NA,2025-07-14
ChIJoX5d-zW3BZERvLanKo27QSY,Chorrillos fight center,NA,+51 923 122 121,NA,https://wa.me/51923122121,NA,NA,2025-07-14
ChIJBwYcZrjFBZERCoxUbCbvnRw,Club de Judo Kyoeikan,NA,+51 936 224 286,NA,https://wa.me/51936224286,NA,NA,2025-07-14
ChIJR5qRsOrIBZERjnI90IPBAfk,Club de Judo - Takenori Ito,NA,+51 956 741 885,NA,https://wa.me/51956741885,NA,NA,2025-07-14
ChIJeUrtvNnJBZERNyjbCLzob6k,Club Los Indomables,NA,+51 968 202 697,NA,https://wa.me/51968202697,NA,NA,2025-07-14
ChIJY5uxEwDHBZERzW87SSNLl4A,CombatZone,NA,NA,NA,NA,NA,NA,2025-07-14
ChIJQ2RMgsTHBZER5qEcaRKPudY,CONSTRICTOR PERÚ - JIU JITSU & MMA,https://www.tiktok.com/@hugocastrofight?is_from_webapp=1,+51 949 131 694,omar.hussein@tiktok.com,https://wa.me/51949131694,https://www.instagram.com/toughkitchen_,NA,2025-07-14
ChIJ2wEqSgLJBZER6Nr2SfsZm_E,Contacto Livre,NA,+51 931 510 135,NA,https://wa.me/51931510135,NA,NA,2025-07-14
ChIJ3ZU-A2-5BZERY2-mnwJImBg,Core Jiu Jitsu & Luta Livre Surco,NA,+51 998 124 113,NA,https://wa.me/51998124113,NA,https://www.facebook.com/corejiujitsulutalivre,2025-07-14
ChIJH2ACIMDPBZERfhs_s1bpIRM,Core Jiu Jitsu Callao,NA,NA,NA,NA,NA,NA,2025-07-14
ChIJ6fWKZTjHBZERsaEjmGjhWx8,DE Training,NA,+51 928 798 172,NA,https://wa.me/51928798172,NA,NA,2025-07-14
ChIJ65L-5m7FBZERFuWGrOis81s,Doble A-Team De la Mata,NA,NA,NA,NA,NA,NA,2025-07-14
ChIJUYZHwv65BZERZDLI2FygMwc,DOJO BOYKA FIGHT - ARTES MARCIALES MIXTAS,NA,+51 925 108 147,NA,https://wa.me/51925108147,NA,NA,2025-07-14
