place_id,best_type,subtype
ChIJRXLy5FTJBZER3lPKDIM2_Gg,MMA,Self-Defense
ChIJHbWmE0zFBZERzpHMxHI3tJU,MMA,Jiu Jitsu
ChIJHbWmE0zFBZERzpHMxHI3tJU,MMA,Boxing
ChIJHbWmE0zFBZERzpHMxHI3tJU,MMA,Muay Thai
ChIJi6uz63eYBZERB8CC3eo9-xM,Jiu Jitsu,MMA
ChIJi6uz63eYBZERB8CC3eo9-xM,Jiu Jitsu,Muay Thai
ChIJf-tGXyvFBZERcKfPb9ruO40,Jiu Jitsu,MMA
ChIJf-tGXyvFBZERcKfPb9ruO40,Jiu Jitsu,Boxing
ChIJf-tGXyvFBZERcKfPb9ruO40,Jiu Jitsu,Sanda
ChIJ19FlnzW5BZERqD67s4vRqvk,Wrestling,NA
ChIJMdRaup_PBZERDM9AVTMzd6w,Jiu Jitsu,NA
ChIJl7jBoyrPBZER7uggoGyGutA,Jiu Jitsu,Muay Thai
ChIJeYNwkwnIBZER9ksmHYGbEuw,Jiu Jitsu,Muay Thai
ChIJeYNwkwnIBZER9ksmHYGbEuw,Jiu Jitsu,MMA
ChIJkXP02G3JBZERHLuIe0SQAHM,Jiu Jitsu,Muay Thai
ChIJkXP02G3JBZERHLuIe0SQAHM,Jiu Jitsu,Wrestling
ChIJ5fiUf_HHBZERYOsZZA9xFTU,Wrestling,NA
ChIJ59fyEPi5BZER8SxRYGoYSio,Wrestling,Muay Thai
ChIJw5H8H1S4BZER1YkZvEUhdsg,MMA,Boxing
ChIJw5H8H1S4BZER1YkZvEUhdsg,MMA,Jiu Jitsu
ChIJw5H8H1S4BZER1YkZvEUhdsg,MMA,Muay Thai
ChIJw5H8H1S4BZER1YkZvEUhdsg,MMA,Kickboxing
ChIJbehiZfDHBZERxD71uXfBsvE,Jiu Jitsu,NA
ChIJe8lhM-zJBZERvsFzVLnwZVE,MMA,Jiu Jitsu
ChIJe8lhM-zJBZERvsFzVLnwZVE,MMA,Boxing
ChIJe8lhM-zJBZERvsFzVLnwZVE,MMA,Muay Thai
ChIJWcjah627BZERr3KaEviXWL4,Jiu Jitsu,NA
ChIJvxVDJhq5BZERQHmnynp95sg,Jiu Jitsu,MMA
ChIJP096eO_RBZERoalEPIOyesI,Jiu Jitsu,NA
ChIJ_ajXUwDJBZERn-ZfOy2Pt4g,Jiu Jitsu,NA
ChIJj0IXpKXFBZERJoi_5KYTcYw,MMA,NA
ChIJQ2fNfwe4BZERh-TrCyDrHOk,Jiu Jitsu,Kickboxing
ChIJQ2fNfwe4BZERh-TrCyDrHOk,Jiu Jitsu,Muay Thai
ChIJlbGtU7_LBZERmVRwOcVZAmg,Jiu Jitsu,NA
ChIJf9J7Su7QBZER5OjNsKwQDeI,MMA,Boxing
ChIJf9J7Su7QBZER5OjNsKwQDeI,MMA,Kickboxing
ChIJRWJggGTJBZERQY3h-qj4SOc,Jiu Jitsu,NA
ChIJ7SkTjy_vBZERaGwB_oSVhn8,Jiu Jitsu,NA
ChIJ95fwUFe5BZERNKqeERCzfFI,MMA,Jiu Jitsu
ChIJBWk2LFfHBZEReyxW8Pzqrnc,Jiu Jitsu,MMA
ChIJVxAkJBXHBZERuJ5Z1IzrEPc,Jiu Jitsu,NA
ChIJeZn4EQDHBZERK-YhvBUA_nI,Jiu Jitsu,MMA
ChIJeZn4EQDHBZERK-YhvBUA_nI,Jiu Jitsu,Wrestling
ChIJm6XxcgS5BZER8rNsS3pqcIk,MMA,Boxing
ChIJm6XxcgS5BZER8rNsS3pqcIk,MMA,Capoeira
ChIJm6XxcgS5BZER8rNsS3pqcIk,MMA,Muay Thai
ChIJm6XxcgS5BZER8rNsS3pqcIk,MMA,Tae Kwon Do
ChIJDYJJFte9BZERJbEyFnQ5e9I,MMA,Boxing
ChIJDYJJFte9BZERJbEyFnQ5e9I,MMA,Capoeira
ChIJDYJJFte9BZERJbEyFnQ5e9I,MMA,Muay Thai
ChIJDYJJFte9BZERJbEyFnQ5e9I,MMA,Tae Kwon Do
ChIJ4TZ_D_PQBZERuXFy_OVaZUU,MMA,Jiu Jitsu
ChIJ4TZ_D_PQBZERuXFy_OVaZUU,MMA,Muay Thai
ChIJ4TZ_D_PQBZERuXFy_OVaZUU,MMA,Kickboxing
ChIJdyuWXifRBZERL7akeaIyRfA,MMA,Jiu Jitsu
ChIJdyuWXifRBZERL7akeaIyRfA,MMA,Boxing
ChIJdyuWXifRBZERL7akeaIyRfA,MMA,Muay Thai
ChIJoX5d-zW3BZERvLanKo27QSY,MMA,Capoeira
ChIJoX5d-zW3BZERvLanKo27QSY,MMA,Muay Thai
ChIJoX5d-zW3BZERvLanKo27QSY,MMA,Jiu Jitsu
ChIJBwYcZrjFBZERCoxUbCbvnRw,Judo,NA
ChIJR5qRsOrIBZERjnI90IPBAfk,Judo,NA
ChIJeUrtvNnJBZERNyjbCLzob6k,Wrestling,NA
ChIJY5uxEwDHBZERzW87SSNLl4A,MMA,NA
ChIJQ2RMgsTHBZER5qEcaRKPudY,Jiu Jitsu,MMA
ChIJ2wEqSgLJBZER6Nr2SfsZm_E,MMA,NA
ChIJ3ZU-A2-5BZERY2-mnwJImBg,Jiu Jitsu,NA
ChIJH2ACIMDPBZERfhs_s1bpIRM,Jiu Jitsu,NA
ChIJ6fWKZTjHBZERsaEjmGjhWx8,MMA,Jiu Jitsu
ChIJ6fWKZTjHBZERsaEjmGjhWx8,MMA,Kickboxing
ChIJ65L-5m7FBZERFuWGrOis81s,MMA,Muay Thai
ChIJ65L-5m7FBZERFuWGrOis81s,MMA,Boxing
ChIJ65L-5m7FBZERFuWGrOis81s,MMA,Jiu Jitsu
ChIJUYZHwv65BZERZDLI2FygMwc,MMA,Boxing
ChIJUYZHwv65BZERZDLI2FygMwc,MMA,Muay Thai
ChIJcS5KKr_QBZERqHtSYCUJARg,MMA,NA
ChIJOfOF4ui9BZERNEHtLiFSW_U,MMA,Jiu Jitsu
ChIJOfOF4ui9BZERNEHtLiFSW_U,MMA,Muay Thai
ChIJOfOF4ui9BZERNEHtLiFSW_U,MMA,Karate
ChIJvXw3qH7JBZERLNp_Vfw8XJo,Jiu Jitsu,MMA
ChIJza2soSGjBZERGi_K1jWpiCw,Jiu Jitsu,Muay Thai
ChIJ9QBFvzyfBZERfeRaigDBmh8,Jiu Jitsu,NA
ChIJ433FgiDOBZER8YkaGFvLvBw,MMA,NA
ChIJpbOPHQDPBZERgNhOqhBdNlI,Jiu Jitsu,NA
ChIJkb7L-yPHBZERvMfhofqs9f0,Jiu Jitsu,NA
ChIJ_49ZfwC5BZER25WIUu0zge8,Jiu Jitsu,NA
ChIJ_x2r75vJBZERgmBgN_FrDIM,Jiu Jitsu,NA
ChIJ13qNn8TJBZERWbv_je4pbBw,Wrestling,NA
ChIJ8R-GFhDJBZERhtpx6oScBN4,MMA,Muay Thai
ChIJ8R-GFhDJBZERhtpx6oScBN4,MMA,Boxing
ChIJ8R-GFhDJBZERhtpx6oScBN4,MMA,Wrestling
ChIJPaZRdMPHBZER5ztEW3DODhQ,Jiu Jitsu,NA
ChIJTQbQ2VbVBZERIvXW_Nrgoyw,Mma,NA
ChIJjY4SOaZ1BZERRHxcdzy-H4Y,MMA,Wrestling
ChIJjY4SOaZ1BZERRHxcdzy-H4Y,MMA,Muay Thai
ChIJBTqvMrvOBZERKOlujH1mxM8,MMA,NA
ChIJ__8gaBnJBZERMs5FSMPbsFg,Jiu Jitsu,NA
ChIJ3ca_7GfOBZER0kYN24RJ7KY,MMA,NA
ChIJ4d2EXxbRBZER_xbi4ogLMxU,MMA,NA
ChIJq4XJ2-nPBZERtqn6GDsB-cQ,MMA,Boxing
ChIJq4XJ2-nPBZERtqn6GDsB-cQ,MMA,Karate
ChIJq4XJ2-nPBZERtqn6GDsB-cQ,MMA,Muay Thai
ChIJq4XJ2-nPBZERtqn6GDsB-cQ,MMA,Jiu Jitsu
ChIJfWAsKx_IBZERt1ZX_T0dxT4,Jiu Jitsu,Muay Thai
ChIJfWAsKx_IBZERt1ZX_T0dxT4,Jiu Jitsu,Boxing
ChIJfWAsKx_IBZERt1ZX_T0dxT4,Jiu Jitsu,MMA
ChIJqSHozRjIBZERtbsnNkuMfng,Jiu Jitsu,Muay Thai
ChIJqSHozRjIBZERtbsnNkuMfng,Jiu Jitsu,Boxing
ChIJqSHozRjIBZERtbsnNkuMfng,Jiu Jitsu,MMA
ChIJ-Y9xE8PFBZERYnNQ_wmVuXg,MMA,Wrestling
ChIJa1MpRMDPBZER3Zq-EXTKhP8,MMA,Krav Maga
ChIJa1MpRMDPBZER3Zq-EXTKhP8,MMA,Muay Thai
ChIJa1MpRMDPBZER3Zq-EXTKhP8,MMA,Boxing
ChIJNwNYneXPBZERvnx_1rWKLmQ,MMA,Muay Thai
ChIJNwNYneXPBZERvnx_1rWKLmQ,MMA,Sambo
ChIJNwNYneXPBZERvnx_1rWKLmQ,MMA,Jiu Jitsu
ChIJAQXOKwvNBZERqF_wMqqlaZc,MMA,NA
ChIJKesXee25BZERRTPN-SaAGX4,Jiu Jitsu,NA
ChIJ1YpSKgDJBZERKDmUGecW1nQ,Jiu Jitsu,NA
ChIJqT3IfADFBZERiGYMI6Qk8xc,MMA,Kickboxing
ChIJqT3IfADFBZERiGYMI6Qk8xc,MMA,Boxing
ChIJqT3IfADFBZERiGYMI6Qk8xc,MMA,MMA
ChIJEXuVY_i3BZER08CWMOYLlzA,Jiu Jitsu,Muay Thai
ChIJEXuVY_i3BZER08CWMOYLlzA,Jiu Jitsu,Boxing
ChIJEXKqbTO3BZER3euLTELXG_U,Jiu Jitsu,NA
ChIJXfqFUWXHBZERBCWUtdh8OzA,Jiu Jitsu,NA
ChIJA-eyd8bIBZERzlDlMoT-BUo,MMA,NA
ChIJOfVTLj_JBZERTUyB_kKhYnc,Jiu Jitsu,NA
ChIJJ-HrgETHBZERj90CNmOWPh4,Jiu Jitsu,NA
ChIJo5dfznG7BZERUKPgRmSt_tE,MMA,Sanda
ChIJIxkhu37HBZEROfIG-FHuJYM,Jiu Jitsu,NA
ChIJuSGxkgrRBZER1xdiRMDhh04,Jiu Jitsu,NA
ChIJzwKq4Mi5BZER0d4ZhuG1mXA,MMA,Kickboxing
ChIJN5ZmqUjDBZERfg6CAsw_DIk,Jiu Jitsu,NA
ChIJ_7g9iXnHBZERhEl77cpDon4,Jiu Jitsu,NA
ChIJk8SzSkDOBZERCTZ3zE24RQw,Jiu Jitsu,Boxing
