place_id,name,has_kids_classes,has_women_classes,has_open_mat,drop_in_fee,beginner_friendly,family_friendly,accessible_entrance,speaks_english,speaks_portuguese,offers_gi,offers_no_gi
ChIJRXLy5FTJBZER3lPKDIM2_Gg,A Salvo Autodefensa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJHbWmE0zFBZERzpHMxHI3tJU,ABSOLUTE COMBAT SPORTS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJi6uz63eYBZERB8CC3eo9-xM,ABU-DOJO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJf-tGXyvFBZERcKfPb9ruO40,Academia de artes marciales TEAM BLACK GORILLA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ19FlnzW5BZERqD67s4vRqvk,"Academia de lucha olímpica ""Los tigres""",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJMdRaup_PBZERDM9AVTMzd6w,Academia Punto Maximo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJl7jBoyrPBZER7uggoGyGutA,Academia Sniper Lima Norte,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJeYNwkwnIBZER9ksmHYGbEuw,SNIPER GT MIRAFLORES,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJkXP02G3JBZERHLuIe0SQAHM,Academia Sniper San Miguel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ5fiUf_HHBZERYOsZZA9xFTU,Academia Surco Wrestling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
