place_id,name,city,lat,lon,has_kids_classes,has_women_classes,has_open_mat,drop_in_fee,beginner_friendly,family_friendly,accessible_entrance,speaks_english,speaks_portuguese,offers_gi,offers_no_gi,overall_rating,num_reviews,reviews_link,photo_link,logo_link,whatsapp_number,instagram,facebook
ChIJRXLy5FTJBZER3lPKDIM2_Gg,A Salvo Autodefensa,Callao,-12.050024,-77.0801194,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,https://search.google.com/local/reviews?placeid=ChIJRXLy5FTJBZER3lPKDIM2_Gg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqHtFd-l5xf3-0eZB4TkQY4OGFEQREtkJD8DOS2HmSKkh3FO3sRtF5NLO_5RiwbuOl4K8bCW7N1nLgvEKe1yPkRalmjl-WCiO9Q9U2Fj-ikKQcoKjHwoTdM5Vek_BFJ4WeAt5ilMg=w800-h500-k-no,NA,+51993175009,https://www.instagram.com/asalvo.pe,NA
ChIJHbWmE0zFBZERzpHMxHI3tJU,ABSOLUTE COMBAT SPORTS,San Juan de Lurigancho,-11.9691878,-77.0041179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.8,30,https://search.google.com/local/reviews?placeid=ChIJHbWmE0zFBZERzpHMxHI3tJU,NA,https://lh5.googleusercontent.com/-DamgSPP0O2Y/AAAAAAAAAAI/AAAAAAAAAAA/G1vOUw1iF4w/s44-p-k-no-ns-nd/photo.jpg,+51977663673,NA,https://www.facebook.com/absolutecsperu
ChIJi6uz63eYBZERB8CC3eo9-xM,ABU-DOJO,Punta Hermosa,-12.3320471,-76.8246998,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,https://search.google.com/local/reviews?placeid=ChIJi6uz63eYBZERB8CC3eo9-xM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noMbAnPwMrNU-UAtWpgtZ9SKy46kfz-Cq9kcUI-Ob2Q3FZE0UYFZZFPCVImUIwmyf-0GGJPpVwGOI1AyGO7Y1F0GzCtSm-PZRNly45T6jpLc3wOmRngH4RNqaV-kWoOkeQ8zNkLzg=w800-h500-k-no,NA,NA,https://www.instagram.com/abudojo,NA
ChIJf-tGXyvFBZERcKfPb9ruO40,Academia de artes marciales TEAM BLACK GORILLA,San Juan de Lurigancho,-11.989476,-77.0057558,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,https://search.google.com/local/reviews?placeid=ChIJf-tGXyvFBZERcKfPb9ruO40,https://lh3.googleusercontent.com/p/AF1QipPcH66Gs5nMQ1-8ytErddokw0jeJKbA6BmcMp4=w800-h500-k-no,https://lh6.googleusercontent.com/-m8Ej_01EK2c/AAAAAAAAAAI/AAAAAAAAAAA/pBpshcyeQi4/s44-p-k-no-ns-nd/photo.jpg,+51912558300,NA,NA
ChIJ19FlnzW5BZERqD67s4vRqvk,"Academia de lucha olímpica ""Los tigres""",Lima,-12.215052,-76.9551304,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,https://search.google.com/local/reviews?placeid=ChIJ19FlnzW5BZERqD67s4vRqvk,NA,NA,NA,NA,NA
ChIJMdRaup_PBZERDM9AVTMzd6w,Academia Punto Maximo,Callao,-12.0201519,-77.0984553,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,https://search.google.com/local/reviews?placeid=ChIJMdRaup_PBZERDM9AVTMzd6w,NA,NA,+51996924360,NA,https://www.facebook.com/academiapuntomaximo
ChIJl7jBoyrPBZER7uggoGyGutA,Academia Sniper Lima Norte,San Martín de Porres,-11.9889036,-77.0967044,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,https://search.google.com/local/reviews?placeid=ChIJl7jBoyrPBZER7uggoGyGutA,https://lh3.googleusercontent.com/p/AF1QipMVxNymVTjk6iyoVj9hGJSZQjPWXANlCXEEiD5P=w800-h500-k-no,https://lh3.googleusercontent.com/-xYVz0QBedNM/AAAAAAAAAAI/AAAAAAAAAAA/GIOKW6oG8Qs/s44-p-k-no-ns-nd/photo.jpg,+51983400820,https://www.instagram.com/sniperlimanorte,NA
ChIJeYNwkwnIBZER9ksmHYGbEuw,SNIPER GT MIRAFLORES,Miraflores,-12.1241392,-77.0188597,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.8,39,https://search.google.com/local/reviews?placeid=ChIJeYNwkwnIBZER9ksmHYGbEuw,NA,https://lh6.googleusercontent.com/-oKJj919I5yY/AAAAAAAAAAI/AAAAAAAAAAA/rlDl8EJ_iok/s44-p-k-no-ns-nd/photo.jpg,+51942192982,NA,NA
ChIJkXP02G3JBZERHLuIe0SQAHM,Academia Sniper San Miguel,Pueblo Libre,-12.0777345,-77.0801757,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,20,https://search.google.com/local/reviews?placeid=ChIJkXP02G3JBZERHLuIe0SQAHM,https://lh3.googleusercontent.com/p/AF1QipOwAaj-Qhfx4vpETeJvz8lXPAszmwbbDz57K6bU=w800-h500-k-no,https://lh4.googleusercontent.com/-hq8aiGPgxB4/AAAAAAAAAAI/AAAAAAAAAAA/3aksvUphphc/s44-p-k-no-ns-nd/photo.jpg,+51945548946,https://www.instagram.com/snipersanmiguel,NA
ChIJ5fiUf_HHBZERYOsZZA9xFTU,Academia Surco Wrestling,Santiago de Surco,-12.1201843,-76.9932081,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,https://search.google.com/local/reviews?placeid=ChIJ5fiUf_HHBZERYOsZZA9xFTU,NA,NA,+51964353296,NA,NA
