place_id,name,district,lat,lon,has_kids_classes,has_women_classes,has_open_mat,drop_in_fee,beginner_classes,family_friendly,accessible_entrance,speaks_english,speaks_portuguese,gi_class,no_gi_class,whatsapp_number,instagram,facebook,about,overall_rating,num_reviews,reviews_link,photo_link,logo_link,has_adult_classes
ChIJHbWmE0zFBZERzpHMxHI3tJU,Absolute Combat Sport,San Juan de Lurigancho,-11.9691878,-77.0041179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51977663673,https://www.instagram.com/absolutecs_peru?utm_source=ig_web_button_share_sheet&igsh=M204MTZ4cWJvaW54,https://www.facebook.com/absolutecsperu,"La familia Absolute Combat Sports, es una escuela deportiva con el objetivo de difundir la buena práctica de Artes Marciales Mixtas, enfocados en el bienestar fisico y mental de nuestro alumnado.",4.8,30,https://search.google.com/local/reviews?placeid=ChIJHbWmE0zFBZERzpHMxHI3tJU,,https://lh5.googleusercontent.com/-DamgSPP0O2Y/AAAAAAAAAAI/AAAAAAAAAAA/G1vOUw1iF4w/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJi6uz63eYBZERB8CC3eo9-xM,Abu Dojo,Punta Hermosa,-12.3320471,-76.8246998,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,51992530826,https://www.instagram.com/abudojo,https://www.facebook.com/p/Abu-Dojo-100075837827591/,Somos un centro de acondicionamiento físico que emplea diferentes disciplinas de combate y defensa personal como modo de recreación.,,,https://search.google.com/local/reviews?placeid=ChIJi6uz63eYBZERB8CC3eo9-xM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noMbAnPwMrNU-UAtWpgtZ9SKy46kfz-Cq9kcUI-Ob2Q3FZE0UYFZZFPCVImUIwmyf-0GGJPpVwGOI1AyGO7Y1F0GzCtSm-PZRNly45T6jpLc3wOmRngH4RNqaV-kWoOkeQ8zNkLzg=w800-h500-k-no,,TRUE
ChIJf-tGXyvFBZERcKfPb9ruO40,Academia De Artes Marciales Team Black Gorilla,San Juan de Lurigancho,-11.989476,-77.0057558,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51912558300,,https://www.facebook.com/TEAMBLACKGORILLA/,"¿Quieres aprender defensa personal? Somos tu mejor opción, aprende boxeo, sanda y más. Familia The Black Gorilla.",,,https://search.google.com/local/reviews?placeid=ChIJf-tGXyvFBZERcKfPb9ruO40,https://lh3.googleusercontent.com/p/AF1QipPcH66Gs5nMQ1-8ytErddokw0jeJKbA6BmcMp4=w800-h500-k-no,https://lh6.googleusercontent.com/-m8Ej_01EK2c/AAAAAAAAAAI/AAAAAAAAAAA/pBpshcyeQi4/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJMdRaup_PBZERDM9AVTMzd6w,Academia Punto Maximo,Callao,-12.0201519,-77.0984553,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,51970937998,https://www.instagram.com/academiapuntomaximo/,https://www.facebook.com/academiapuntomaximo,"Sencillamente debes saber que tienes un potencial increible y que puedes llegar a descubrirlo, nosotros te ayudamos.",,,https://search.google.com/local/reviews?placeid=ChIJMdRaup_PBZERDM9AVTMzd6w,,,TRUE
ChIJl7jBoyrPBZER7uggoGyGutA,Academia Sniper Lima Norte,San Martin de Porres,-11.9889036,-77.0967044,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51928237922,https://www.instagram.com/sniperlimanorte,https://www.facebook.com/people/Academia-Sniper-Lima-Norte/100089438843010/,Jiu Jitsu | Luta Livre | Muay Thai | MMA Niños - Jovenes - Adultos,5,5,https://search.google.com/local/reviews?placeid=ChIJl7jBoyrPBZER7uggoGyGutA,https://lh3.googleusercontent.com/p/AF1QipMVxNymVTjk6iyoVj9hGJSZQjPWXANlCXEEiD5P=w800-h500-k-no,https://lh3.googleusercontent.com/-xYVz0QBedNM/AAAAAAAAAAI/AAAAAAAAAAA/GIOKW6oG8Qs/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJeYNwkwnIBZER9ksmHYGbEuw,Academia Sniper Miraflores,Miraflores,-12.1241392,-77.0188597,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51956329176,https://www.instagram.com/snipermiraflores/?hl=en,https://www.facebook.com/AcademiaSniper,"¡Entrena con nosotros Jiu Jitsu, No Gi Jiu Jitsu & Luta Livre, Muay Thai y Artes Marciales Mixtas!",4.8,39,https://search.google.com/local/reviews?placeid=ChIJeYNwkwnIBZER9ksmHYGbEuw,,https://lh6.googleusercontent.com/-oKJj919I5yY/AAAAAAAAAAI/AAAAAAAAAAA/rlDl8EJ_iok/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJkXP02G3JBZERHLuIe0SQAHM,Academia Sniper San Miguel,San Miguel,-12.0777345,-77.0801757,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51945548946,https://www.instagram.com/snipersanmiguel,https://www.facebook.com/AcademiaSniperSanMiguel/,Expertos en la enseñanza detallada y efectiva y profesional. 16 años formando campeones en el tatami y en la vida.,5,20,https://search.google.com/local/reviews?placeid=ChIJkXP02G3JBZERHLuIe0SQAHM,https://lh3.googleusercontent.com/p/AF1QipOwAaj-Qhfx4vpETeJvz8lXPAszmwbbDz57K6bU=w800-h500-k-no,https://lh4.googleusercontent.com/-hq8aiGPgxB4/AAAAAAAAAAI/AAAAAAAAAAA/3aksvUphphc/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJw5H8H1S4BZER1YkZvEUhdsg,Team Ragazzi,San Juan de Miraflores,-12.1664838,-76.968537799999993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51968207669,https://www.instagram.com/teamragazzi_/,https://www.facebook.com/artesmarcialesSJM,"MMA · Boxeo · Jiu Jitsu · Muay Thai · Kickboxing. Ring, jaula y zona de alto rendimiento",4.6,21,https://search.google.com/local/reviews?placeid=ChIJw5H8H1S4BZER1YkZvEUhdsg,https://lh5.googleusercontent.com/JzB-GtNUdwashsImK6-8tyM4Gza7p4xQNtJHTaBBqVm-LZCTy3BdvYg5OJInOwvN=w800-h500-k-no,,TRUE
ChIJbehiZfDHBZERxD71uXfBsvE,Almeida Jiu Jitsu,Santiago de Surco,-12.11076834,-76.97290805,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51949687153,https://www.instagram.com/almeida_trainingcenter/,https://www.facebook.com/p/Almeida-jiu-jitsu-Per%C3%BA-100062990662069/,No te pierdas nuestras clases desde la comodidad de tu casa,5,34,https://search.google.com/local/reviews?placeid=ChIJbehiZfDHBZERxD71uXfBsvE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrfUpp04PXXT8Ef_m4RLBTVX__7R2FZqNZFPpQNIFb6oHE5oLxqKBOqUvsB0LRd6ssjovW5i4OHlyuGffeZJZmNSUitChtNzB_xEmK3Q9Sbip6dM4ucrOEBIaIvxshKz52atW-f=w800-h500-k-no,,TRUE
ChIJWcjah627BZERr3KaEviXWL4,Aranha SMP,San Martin de Porres,-12.113704,-77.0120024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,https://www.instagram.com/aranha_smp,,Escuela de Artes Marciales. Defensa Personal. Entrenamientos grupales y/o personalizados.,,,https://search.google.com/local/reviews?placeid=ChIJWcjah627BZERr3KaEviXWL4,,https://lh4.googleusercontent.com/-CLleqKKx5sA/AAAAAAAAAAI/AAAAAAAAAAA/ZZlNnCRIxQk/s44-p-k-no-ns-nd/photo.jpg,TRUE
